Username,Comment
@Rudra..994,"Is show me hunting and food, camping dikhate nhi matlab o scene cute hota hai ya shoot nhi hota... मतलब ये hazen jungel me पिझ्झा burger khata hai... Primal show me"
@SureshSoni-dp8sj,Nya.episod.daliye
@dineshpagare,Super
@Rahuldesitraveller,Recently i travelled the most dangerous snake island watch full vlog link in bio fast 🇮🇳
@Rahuldesitraveller,Recently i travelled the most dangerous snake island watch full vlog link in bio
@amrishchaubey-rs2ug,heyy
@level_0_gaming27,"I can't even imagine, how he is able to walk bare foot in such a death valley. He is like A invincible man having UI mode in reality like Lookism webtoon character GUN.😅😅"
@vidyapatel7077,God bless you 🕉️🇮🇳
@MbbsKhan-ik4ms,😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤😂😂😂😂😂❤🎉😢😮😮😅😊😊😢🎉😂😂😂🎉😢😅😊😅😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤😂😂😂😂😂❤🎉😢😮😮😅😊😊😢🎉😂😂😂🎉😢😅😊😅😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉🎉🎉🎉❤😂😂😂😂😂😂😂❤😂🎉😢😮😅😊😊❤🎉😢😮😅😊😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤😂😂😂😂😂❤🎉😢😮😮😅😊😊😢🎉😂😂😂🎉😢😅😊😅😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉🎉🎉🎉❤😂😂😂😂😂😂😂❤😂🎉😢😮😅😊😊❤🎉😢😮😅😊❤🎉😢😅😊😊😊😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤😂😂😂😂😂❤🎉😢😮😮😅😊😊😢🎉😂😂😂🎉😢😅😊😅😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉🎉🎉🎉❤😂😂😂😂😂😂😂❤😂🎉😢😮😅😊😊❤🎉😢😮😅😊❤🎉😢😅😊😊😊😅😅😅😅🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤😂😂😂😂😂❤🎉😢😮😮😅😊😊😢🎉😂😂😂🎉😢😅😊😅😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉🎉🎉🎉❤😂😂😂😂😂😂😂❤😂🎉😢😮😅😊😊❤🎉😢😮😅😊❤🎉😢😅😊😊😊🎉😢😅😊😊😊😊❤😂🎉🎉🎉🎉❤😂😂😂😂😂😂😂❤😂🎉😢😮😅😊😊❤🎉😢😮😅😊❤🎉😢😅😊😊😊😊
@MuqeemRaza.,Tumhare sath koi our bhi hai jo camera man hai lekin aap keh rahe ho ke me is jungle me akela hun
@serene.NTR1,Support guys new user 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
@anuskhanpigeon333,Ye reupload hua h episode Bhai Pagal nh bnao budget khtam hogya h kia 😂😂
@hemantroyal6638,❤❤❤❤🎉🎉🎉
@ABUSAYEDAVUSAYED,Best bear Grylls
@nareshthapa5327,Nice
@ACboy-w7g,Koi subscribe karlo
@GarviGujarat-ok4og,यार तुम जानवर जैसे हो बिना जूते इतने कांटे वाले रास्ते में चलना कुछ भी खा लेना क्या यार रोज आपके वीडियो आने चाहिए प्लीज इस चैनल वाले भाई को ने गुजरात से हू हर रोज एक वीडियो इस भाई के डालो प्लीज❤❤❤❤❤
@Syedallah-j1k,All episodes please upload
@chamandeeppallav9717,Itna scripted.. ohh God
@sibghatullah8795,I'm new🎉🎉🎉
@sibghatullah8795,Wow😮😮
@Safe_india9c8,Video clips re uploaded 😢😢
@MTK-hr4hw,New episode upload kro yaar
@beastboyvk,Bhai tujhe madhumakkhi khane de sujan kyu nahi aayi ?🧐🧐
@mustakimansarigaming5630,😮😮😮😮😮❤
@ABBASI-j5c,Old episode Q upload Karty ho 😡
@Pagal_ARJUN,*Re-upload 😢😢😢*
@pitambm,Are wah upload daily ❤❤😊
@mjrmjrchattri9774,1 video 2 time upload ?
@hacaaaaaaaar_gaming4308,This video are Reupload 😊😢
@ImranAhmad-ti5ql,Ye sala pairon mein juta kyun nahi pahenta hai
@DSmistak,Re upload Kiya h to jrur dekhenge ek baar fir
@bittukumer7106,A hi video ko kitne bar dikha  rahe ho kya yaar 😡
@ggssgamarYT,God bless you 🧘✋
@ujwalphuke2163,"No one is better than beer griils 
If agree then lime 😄"
@Tangibility-w,Re-upload
@AltafKhan-vw2js,Madhu makkhi ne pura jhund laga dia hi mere muuh pr 😅😅😅😅
@Icandoit725,ये साला तो सुंडी खा गया 😂😂😂😂
@MalikJaved721,Ye old episodes ha😂
@NavneetSagar-kl8er,Kis kis ko lagta hai ki ye video re -upload huaa hai 😂😂
@sanjanayadavofficial6306,Please don't re-upload video
@anujbagdivlogs8675,Ye apisode dekha hai new aplod karo videos im waiting national graphics chanel
@AurabKumar-b4c,Z
@sudamaroy2810,Old video 😅
@sarojnidevi9608,Good
@shahfaisal4227,Reuploaded content why tou are doing that.😂😂
@shahfaisal4227,If not upload primal survivel then i will unsubscribe this.
@shahfaisal4227,I subscribe  this channel for only  primal survivel upload regularly video.
@Realvishalkoli,Iske bad firse video reupload kiya to channel uda dunga😡😡😡😡
@SAKSHAM_-FX_-1,Re upload mat karo 😢
@andrinmicheal-it5me,Bar bar re-upload kyu karte ho😂😂😂😅
@Rajkumar_Chauhan_6174,Aap baar baar Re-upload kyo karate ho ?
@Ravikumar-gj6qw,Thanks for uploading this video
@mohdarif1328,Ye me dehk choka hooo😂😂😂
@Ravikumar-gj6qw,Upload new videos
@padmakarmittewad9956,इतने दिन एपिसोड नहीं जा रहे मैं तुम्हारा रोज एपिसोड देखता हूं❤❤❤❤❤❤
@r.prahlad.kashyap85,कृपया नयी वीडियो डालीए
@BhatuMore-mo5hy,Ek hi video kitni Baar dikhavoge
@Aftab211,Mai Unsubscribe karne wala tha parimal Survival ki wajah se nhi kiya
@pitashsahoo114,This video is scripted .That's why I am not enjoying this.
@JunedKhan-pn4kr,You are so very great person 🇮🇳🇮🇳🇮🇳
@user-kn1fu6zm3m,Next ep please please please please please please please
@vikashkaimoryt4690,Reuploaded 😅😅
@user-kn1fu6zm3m,Tq so much chanel man ohh tq upload k liye
@Dharmendranarve,👍
@RqomxD,Abe cameraman ko kuch nahi hota kya😂
@SurajBhakt-ic1mo,Wating this episode 😮
@guidamolla8383,Respect voice over
@Haidermota123,1 hi episode bar bar😡
@pranavindore8798,Tu akela he to  video kon Nihal raha he😂😂😊😅
@GaminglaverB28,Re-upload 😅
